날짜,회사,그룹,제목,요약,매체,링크,회차
2026-07-21 10:58,NH농협은행,NH,"NH농협은행, 숨은 금융자산 한 번에 찾는다","NH농협은행, 숨은 금융자산 통합 조회 환급 서비스 / 휴면예금 외화예금과 신탁계좌 미수령 퇴직연금 적립금 조회 가능 / NH올원뱅크와 NH스마트뱅킹 인터넷뱅킹에서 이용 가능 / 마이데이터 연동을 통해 타 금융회사 자산 확인 지원 중",,https://www.discoverynews.kr/news/articleView.html?idxno=1096551,43
2026-07-21 10:54,현대카드,비지주,"현대카드, 웨인 티보 국내 첫 대규모 회고전 개최",,,https://www.newspim.com/news/view/20260721000407,43
2026-07-21 10:52,카카오뱅크,핀테크,"카카오뱅크, UAE 고위급 인재에 디지털금융 혁신 사례 소개","카카오뱅크, UAE 고위급 인재에 디지털금융 혁신 사례 소개 / 고객 중심 UI·UX 등 디지털뱅킹 혁신 사례 / 모바일 금융 서비스 운영 방식과 애자일 조직문화 / 글로벌 시장에서 카카오뱅크 브랜드 영향력 확대 중",,https://www.ajunews.com/view/20260721104924062,43
2026-07-21 10:52,신한투자증권,신한,"신한투자증권, 유언대용신탁 간편형 출시…가족 1인 지정해 상속 준비",,,https://www.newspim.com/news/view/20260721000398,43
2026-07-21 10:50,하나금융,하나,"‘1조 투자’ 하나금융, 두나무와 디지털금융 동맹 본격화",,,https://sateconomy.co.kr/news/view/1065574226579781,45
2026-07-21 10:46,하나은행,하나,"하나은행, 현대차그룹과 '친환경 적금' 출시···최고 연 4.5% 제공",,,https://www.ziksir.com/news/articleView.html?idxno=140638,45
2026-07-21 10:46,신한은행,신한,신한은행 ‘땡겨요’ 만든 팀장 수사…쿠팡 자료도 ‘땡겨요?’,,,https://wemakenews.co.kr/news/view.php?no=25849,43
2026-07-21 10:42,하나금융,하나,"""디지털 금융 미래 논의""…하나금융·두나무, 비공개 간담회",,파이낸셜뉴스,https://n.news.naver.com/mnews/article/014/0005550604?sid=101,43
2026-07-21 10:36,케이뱅크,핀테크,"UAE·태국 이어 홍콩까지…케이뱅크, 블록체인 해외송금망 넓힌다","케이뱅크, 블록체인 해외송금망 확대(w/비피엠지, 해시키그룹) / 한·홍콩 송금 기술검증 추진 중개은행 줄여 송금 시간·수수료 낮추는 사업 / 디지털자산 기반 해외송금·결제 인프라 구축 및 디지털자산 수탁 기술 협력 진행 중 / 광역 아시아 송금 네트워크로의 서비스 확장 가능성 검토 및 규제 준수 기준 마련 중",헤럴드경제,https://n.news.naver.com/mnews/article/016/0002672702?sid=101,43
2026-07-21 10:26,대신증권,비지주,"대신증권, 자동차 투자전략 세미나…하반기 투자 포인트 공개",,,https://www.newspim.com/news/view/20260721000249,43
2026-07-21 10:26,한국투자증권,비지주,"한국투자증권, 미성년 자녀계좌 통합 메뉴 오픈",,,https://www.smarttoday.co.kr/ko-kr/articles/109642,43
2026-07-21 10:24,카카오뱅크,핀테크,"UAE 고위급 인재단, 카카오뱅크 방문… K-디지털 금융 노하우 청취",,,https://www.viva100.com/article/20260721500420,44
2026-07-21 10:21,금융당국,pubpolicy,美상장에 토큰화 늘어난 SK하이닉스....주식토큰 시총 900억원 돌파 [매...,,매일경제,https://n.news.naver.com/mnews/article/009/0005709957?sid=101,45
2026-07-21 10:21,키움증권,비지주,"키움증권, 자동매매 프로그램 개발 돕는 코딩도구 공개","키움증권, 자동매매 프로그램 개발 지원 도구 공개 / CLI 기반 코딩 개발도구와 샘플코드 제공 중 / 키움증권 REST API와 깃허브 연동 지원 중 / AI 기반 트레이딩 서비스 개발 환경 확대 중",연합뉴스,https://n.news.naver.com/mnews/article/001/0016205200?sid=101,43
2026-07-21 10:12,케이뱅크,핀테크,"비피엠지, 케이뱅크·해시키 그룹과 글로벌 스테이블코인 금융 인프라 ...","비피엠지, 케이뱅크·해시키 그룹과 글로벌 스테이블코인 금융 인프라 협력 / 스테이블코인 기반 송금·결제 서비스 기술과 한국·홍콩 간 해외송금 모델 공동 검토 중 / 기관 간 송금·결제·정산 체계 마련과 디지털자산 기반 사업 모델 발굴 추진 중 / 글로벌 금융 인프라 사업 협력 확대와 국경 간 디지털자산 협력 체계 구체화 진행 중",,https://www.tokenpost.kr/news/blockchain/379703,43
2026-07-21 10:08,케이뱅크,핀테크,"케이뱅크, 홍콩 해시키그룹·비피엠지와 ‘블록체인 기반 해외송금’ 방...",,,https://www.viva100.com/article/20260721500350,44
2026-07-21 10:02,신한투자증권,신한,"신한투자증권, 간편한 상속 돕는 '행복이음신탁 라이트' 출시",,머니투데이,https://n.news.naver.com/mnews/article/008/0005388442?sid=101,44
2026-07-21 09:52,토스증권,핀테크,"토스증권, 국내 기업 어닝콜 3개월 만에 60만명 이용","토스증권, 국내 기업 어닝콜 서비스 이용자 60만명 돌파 / 국내 기업 어닝콜 서비스는 실시간 한국어 음성 텍스트 변환 및 요약 기술 적용 / 어닝콜 전후에 인기 어닝콜 순위, 주목할 포인트, 사후 데이터 제공 / 투자자 편의성을 최우선에 두고 자체 기술력으로 어닝콜 서비스 고도화 중",전자신문,https://n.news.naver.com/mnews/article/030/0003449314?sid=101,43
2026-07-21 09:48,교보생명,비지주,"교보생명, '건강검진 예약 서비스' 선봬",,전자신문,https://n.news.naver.com/mnews/article/030/0003449309?sid=101,43
2026-07-21 09:48,키움증권,비지주,"키움증권, 개발자용 주식 API 도구 무료 배포","키움증권, 개발자용 주식 API 도구 무료 배포 / 라이브데이터와 협력해 REST API 기반 CLI와 샘플코드 제공 / kwcli setup 명령어로 인증과 기본 환경 구성 완료 / pip 설치 지원과 깃허브 저장소에서 내려받을 수 있는 개발 도구 제공 예정",,https://www.sentv.co.kr/article/view/sentv202607210030,43
2026-07-21 09:44,한화생명,비지주,"한화생명, 치매 환자·가족 위한 '맞춤형 예방 솔루션' 모은다","한화생명, 맞춤형 치매 예방 솔루션 발굴(w/서울광역치매센터, 함께만드는세상) / 경도인지장애·초로기 치매 환자 돌봄을 돕는 혁신적인 아이디어 공모(w/사회연대은행) / 디지털·AI, 일·사회경험, 커뮤니티, 프로그램 등 5개 부문 공모 진행 중 / 서울시 치매관리 정책 총괄하는 서울광역치매센터가 심사 단계부터 참여 중",전자신문,https://n.news.naver.com/mnews/article/030/0003449306?sid=101,43
2026-07-21 09:43,모건스탠리,해외,"오를 때도 계속 사라더니…모건스탠리 “반도체, 가격 싸졌으니 지금 사...",,매일경제,https://n.news.naver.com/mnews/article/009/0005709932?sid=101,43
2026-07-21 09:42,하나금융,하나,"하나금융·두나무, 계좌 제휴 넘어 ‘디지털 금융 동맹’ 구축","하나금융그룹, 디지털 금융 동맹 구축(w/두나무) / 원화 기반 스테이블코인과 토큰증권(STO) 사업 협력 중 / 통합 자산관리 플랫폼 구축과 글로벌 결제 네트워크 연계 추진 중 / 블록체인 기반 해외송금·결제망 구축과 무역대금 결제 확대 적용 검토 중",,https://www.viva100.com/article/20260721500254,43
2026-07-21 09:41,금융당국,pubpolicy,댓글·굿즈 구매가 디지털 스티커로…베리즈 '마이캐비닛' MZ 꾸미기 문...,,전자신문,https://n.news.naver.com/mnews/article/030/0003449303?sid=105,45
2026-07-21 09:36,금융당국,pubpolicy,"'90허우의 반란' 키미 K3로 AI지형 뒤흔든 양즈린, 34세 창업자 몸값 20조...",,,https://www.newspim.com/news/view/20260721000280,45
2026-07-21 09:36,한국투자증권,비지주,"한국투자증권, 여름방학 '주식·경제교실' 연다…초·중·고 맞춤 금융교...",,,https://www.newspim.com/news/view/20260721000258,43
2026-07-21 09:20,케이뱅크,핀테크,"케이뱅크, 아시아 디지털자산 리딩기업과 글로벌 스테이블코인 사업 협...",,매일경제,https://n.news.naver.com/mnews/article/009/0005709912?sid=101,44
2026-07-21 09:00,금융당국,pubpolicy,"청구스, ‘2026 부산 블록체인 기업 사업화 지원사업’ 선정",,아시아경제,https://n.news.naver.com/mnews/article/277/0005792226?sid=101,45
2026-07-21 09:00,하나은행,하나,"하나은행, 현대차 V2X 서비스 연계 적금 출시… 5000명 한정 혜택",,,https://www.pointe.co.kr/news/articleView.html?idxno=82013,44
2026-07-21 08:59,키움증권,비지주,"키움증권, REST API 기반 CLI 공개…개발환경 개선","키움증권, REST API 기반 CLI 공개(w/라이브데이터) / 개발자가 명령어로 키움증권 REST API를 검색하고 인증하는 개발 도구 / CLI는 PyPI에 등록되어 'pip install kwcli' 명령어로 설치할 수 있는 개발 환경 / GitHub 저장소를 통해 CLI와 샘플코드를 내려받아 사용할 수 있는 개발 지원",아시아경제,https://n.news.naver.com/mnews/article/277/0005792225?sid=101,43
2026-07-21 08:36,하나은행,하나,"하나은행, 올 1~6월 제1금융권 금융소비자 관심도 1위...우리·KB국민은...",,,http://www.thebigdata.co.kr/view.php?ud=202607152054119699a3c244e1c9_23,42
2026-07-21 08:31,네이버페이,핀테크,"중견련, 법정단체 12주년 기념 네이버페이 쏜다","한국중견기업연합회, 법정단체 출범 12주년 기념 이벤트 / '대한민국 대도약' 선도 역량·의지 인식 확산을 위한 온라인 이벤트 / 중견기업 응원 메시지와 인증 사진을 댓글로 남긴 12명에게 네이버페이 5만원권 증정 예정 / 중견기업법 개정 작업을 산업통상부 중심으로 준비 중",파이낸셜뉴스,https://n.news.naver.com/mnews/article/014/0005550485?sid=101,42
2026-07-21 08:01,금융당국,pubpolicy,“쇼핑몰 한 곳에서만 매출 4억 올렸죠” 온라인판로 종합지원 사업이 ...,,헤럴드경제,https://n.news.naver.com/mnews/article/016/0002672565?sid=101,45
2026-07-21 07:16,하나금융,하나,3대 코인 올랐지만 업비트 거래는 ‘한겨울’…두나무는 하나금융과 ‘...,,,http://coinreaders.com/248600,41
2026-07-21 07:03,토스,핀테크,토스도 '금융그룹' 시대…개별 감독 넘어 그룹 관리 체계로,,데일리안,https://n.news.naver.com/mnews/article/119/0003113113?sid=101,41
2026-07-21 06:01,모건스탠리,해외,스테이블코인 품은 비자…모건스탠리·DTCC도 온체인 금융 [크립토브리...,,파이낸셜뉴스,https://n.news.naver.com/mnews/article/014/0005550454?sid=105,41
2026-07-21 05:53,하나금융,하나,'미래금융 새판짜기' 의기투합한 하나금융·두나무,,연합뉴스,https://n.news.naver.com/mnews/article/001/0016204726?sid=101,42
2026-07-21 05:11,씨티은행,해외,"씨티은행, 글로벌 수탁기관 2년 연속 선정",,서울신문,https://n.news.naver.com/mnews/article/081/0003662817?sid=101,41
2026-07-21 05:05,미래에셋생명,비지주,"미래에셋생명, 반도체 변액펀드 라인업 확장","미래에셋생명, 반도체 변액펀드 라인업 확장 / 인공지능 기술 확산에 따른 반도체 산업 성장 기대감에 대응하는 펀드 편입 / 고객의 투자 선택 폭을 넓히기 위한 반도체 테마 변액펀드 3종 새롭게 편입 / 주요 반도체 시장에 투자할 수 있는 기회 확대와 분산투자 효과 기대 중",서울신문,https://n.news.naver.com/mnews/article/081/0003662786?sid=101,41
2026-07-21 05:05,KB금융,KB,AI·바이오 등 자금 확대하는 KB금융… 2030년까지 93조 공급,"KB금융그룹, AI와 바이오 등 자금 확대 / 생산적 금융을 핵심 성장 전략으로 내세우며 2030년까지 93조원 공급 예정 / 투자금융과 기업대출을 통해 첨단산업과 국가 전략사업에 자본을 우선 배분하는 금융 활동 추진 중 / KB금융은 생산적 금융을 통해 사회적 생산성과 미래 성장성을 높이는 금융 활동을 강화하는 중",서울신문,https://n.news.naver.com/mnews/article/081/0003662782?sid=101,41
2026-07-21 05:05,신한금융,신한,"신한금융, 생산적·포용금융 110조 장전… 미래산업 집중 지원","신한금융그룹, 생산적 금융 확대 프로젝트 추진 중 / 2030년까지 110조원 생산적·포용적 금융 공급 예정 / 우선 국민성장펀드에 10조원 출자, K붐업 산업 지원 중 / 산업 전반 자금 순환 활성화, 국가 전략 인프라 금융 지원 중",서울신문,https://n.news.naver.com/mnews/article/081/0003662784?sid=101,41
2026-07-21 05:05,하나금융그룹,하나,"하나금융그룹, 생산적 금융 전담조직·상품 신설… ‘하나형 원팀’ 체...",,서울신문,https://n.news.naver.com/mnews/article/081/0003662788?sid=101,41
2026-07-21 04:34,KB자산운용,KB,"[하반기 ETF 설계도] KB자산운용, 반도체 넘어 'AI 생태계'로 영토 확장",,,https://www.news2day.co.kr/article/20260719500015,42
2026-07-20 23:44,뱅크오브아메리카,해외,"뱅크오브아메리카, 글로벌 디지털자산 플랫폼 임원 영입",,,https://www.tokenpost.kr/news/breaking/379573,41
2026-07-20 22:52,미래에셋증권,비지주,"미래에셋증권 M-STOCK, 7개월 연속 MAU 1위 “국민 자산관리 플랫폼 자리...","미래에셋증권 M-STOCK, 7개월 연속 MAU 1위 자리매김 / 고객의 자산 흐름과 투자 습관까지 함께 관리하는 플랫폼 확장 중 / UX와 디지털 혁신으로 고객의 투자 여정을 쉽고 직관적으로 연결하는 전략 중 / 플랫폼 고도화를 지속 추진해 고객 만족을 이끌어내는 성과 중",,https://magazine.hankyung.com/job-joy/article/202607205448d,40
2026-07-20 19:08,카카오뱅크,핀테크,"[단독] 카카오뱅크, 임단협 결렬 후 첫 단체행동…금융권 긴장 고조",,디지털데일리,https://n.news.naver.com/mnews/article/138/0002234728?sid=101,40
2026-07-20 18:02,새마을금고,정책,[2금융 뉴스브리핑] 새마을금고중앙회 임직원 '정보보호 캠페인' 실시,,,https://www.asiatime.co.kr/article/20260720500387,40
2026-07-20 17:02,토스,핀테크,토스인슈·삼쩜삼 진격에 보험사도 맞불…보험 판매시장 '고객 DB 전쟁',,,https://www.ajunews.com/view/20260720150937946,40
2026-07-20 16:56,우리투자증권,우리,"우리투자증권, MTS서 ‘쇼핑플러스’…최대 10% 꿀머니 적립",,매일경제,https://n.news.naver.com/mnews/article/009/0005709661?sid=101,40
2026-07-20 16:38,하나카드,하나,"[여전사 풍향계] 하나카드, ‘2026 Cool Summer Festival’ 진행 外",,,https://www.ekn.kr/web/view.php?key=20260720025053991,40
2026-07-20 16:15,우리카드,우리,"우리카드, 고정 지출 부담 줄이는 ‘카드의정석2’ 출시","우리카드, 고정 지출 부담 줄이는 카드의정석2 출시 / 디지털 구독과 멤버십에서 30% 할인을 제공하는 구조 / 아파트 관리비 포함된 생활비 전반 할인 혜택 제공 중 / 생활 패턴 고려한 실속 혜택과 카드 디자인 구축 중",서울신문,https://n.news.naver.com/mnews/article/081/0003662615?sid=101,40
2026-07-20 16:14,토스,핀테크,"앱토스랩스 CEO “美 규제 변화, 금융기관 디지털자산 시장 참여 촉진할...","앱토스랩스, 美 규제 변화로 금융기관 디지털자산 시장 참여 촉진 / 지니어스·클래리티 법안이 디지털 자산 산업 성장의 핵심 법적 토대 / 클래리티 법안이 금융기관과 기업의 디지털 자산 시장 참여 규제 명확성을 제공 / 자산의 디지털화와 AI 기술의 확산이 금융시장의 주요 변화로 예상",디지털타임스,https://n.news.naver.com/mnews/article/029/0003037831?sid=105,40
2026-07-20 16:02,키움증권,비지주,"키움증권, 빗썸 투자 검토…디지털자산 신사업 확대 시동","키움증권, 빗썸 투자 검토로 디지털자산 신사업 확대 / 디지털자산 제도화 구체화에 따라 가상자산 분야 사업 확대 / 토큰증권과 원화 스테이블코인 거래 시스템 확보 추진 중 / 거래소 인프라 확보로 향후 상품 개발과 자산관리 서비스 확대 예정",,http://www.press9.kr/news/articleView.html?idxno=79685,40
2026-07-20 15:59,전북은행,지방,"“AI 투자 명분? 결국 구조조정”…전북은행 노조, JB·BNK 합병론 반발","전북은행 노조, JB금융지주와 BNK금융지주 합병 반발 / 얼라인파트너스 제안, 비용 절감과 AI 투자 효율화 추진 중 / 전북은행 노조, 조직 축소와 인력 감축 우려로 철회 촉구 / 지역 금융지주 합병, 규모의 경제와 비용 시너지 추구 중",중앙일보,https://n.news.naver.com/mnews/article/025/0003538751?sid=102,40
2026-07-20 15:58,우리금융,우리,"우리금융, 딥테크 실험실 연다···사업성보다 기술 주목","우리금융, 테크 센터를 통한 딥테크 스타트업 지원 / 우리금융은 테크 센터에서 과제를 제안하고 기업을 매칭하는 과제 해결 중심의 스타트업 지원을 추진 중 / 우리은행은 절세를 위한 AI, 동양생명은 AI마켓센싱 시스템, 우리투자증권은 AI리서치 어시스턴트, 우리에프아이에스는 사내 비정형 데이터 자산화를 위한 과제를 요청 중 / 디노랩은 연간 1회 정기 모집과 추가 과제를 수시 모집하며 기술검증 수행 능력을 중시하는 선발 기준을 적용 중",,https://www.newsfreezone.co.kr/news/articleView.html?idxno=700128,40
2026-07-20 15:34,KB금융,KB,"""비용 절감 명분 자체평가 중단하라""…감평협, KB금융에 면담 요구","한국감정평가사협회, KB금융 자체 감정평가 중단 요구 / 내부 평가가 독립성과 객관성을 훼손하고 이해충돌을 키운다고 보고 / 금융기관의 내부 감정평가가 감정평가법 위반 소지가 있다고 해석 / 그룹 차원 해결을 요구하며, 불발 시 공개 질의 등 추가 대응 예정",,https://www.newspim.com/news/view/20260720000800,39
2026-07-20 15:28,토스뱅크,핀테크,"""담보 없이 버티기엔 한계"" … 토스뱅크, 총량규제에도 하반기 '주담대...",,,https://biz.newdaily.co.kr/site/data/html/2026/07/20/2026072000145.html,39
2026-07-20 15:25,농협은행,NH,"수천만원 지켰다…농협은행 송죽동지점 직원, 보이스피싱 범죄 차단 공...","NH농협은행 송죽동지점, 보이스피싱 범죄 차단 / 김정은 계장, 고객의 자산 4천만원 지켜낸 업무 / 경찰로부터 감사장을 받은 보이스피싱 피해 예방 공로 / 고객의 개인정보 보호와 금융사기 예방 활동 중",경기일보,https://n.news.naver.com/mnews/article/666/0000115840?sid=102,39
2026-07-20 14:01,흥국생명,비지주,"흥국생명, 차세대 시스템 '하이프라임' 론칭…“미래형 보험 토대”","흥국생명, 차세대 시스템 '하이프라임' 구축 / 고객 편의성과 내부 업무 효율성을 대폭 개선한 시스템 도입 / 보험 과정 전반을 혁신해 시간을 단축하고 자동화 범위를 확대한 보험 서비스 토대 / 인공지능 등 새로운 디지털 기술을 유연하게 적용할 수 있는 미래형 보험 서비스 기반",전자신문,https://n.news.naver.com/mnews/article/030/0003449094?sid=101,39
2026-07-20 13:30,KB국민카드,KB,"30년 KB맨 뚝심 통했다...김재관 대표, KB국민카드 내실성장 견인 '연임...",,,https://www.meconomynews.com/news/articleView.html?idxno=132882,38
2026-07-20 13:20,우리카드,우리,기본 1%부터 필수소비·구독할인까지…우리카드 '카드의정석2 DAILY',,,https://www.asiatime.co.kr/article/20260720500183,38
2026-07-20 12:02,토스,핀테크,"앱토스 랩스 최고경영자 “미국 규제 명확화, 기관 진입 촉진”…스테이...","앱토스 랩스, 미국 규제 명확화와 기관 진입 촉진 전망 / 클래리티 법안이 디지털 자산 시장 참여를 촉진하는 기폭제가 될 것이라고 전망 / 스테이블코인과 실물자산 토큰화 확산을 위한 법적 토대 마련 중 / 오픈USD 프로젝트의 핵심 블록체인 협력사로 참여 중",,https://www.tokenpost.kr/news/blockchain/379372,37
2026-07-20 12:00,네이버페이,핀테크,이해진이 썼던 그 네이버페이 '커넥트'…단말기 시장 흔든다,"네이버페이, 통합 결제 단말기 '네이버페이 커넥트' / 기존 포스 사용 가능하고 결제 이후 네이버 플레이스 리뷰로 이어지는 생태계 연계 전략 / 네이버페이 커넥트 설치 가맹점 10만개 확보 / 기존 결제 인프라 유지하면서 자사 서비스와 연결성을 높이는 전략",비즈워치,https://n.news.naver.com/mnews/article/648/0000049022?sid=101,37
2026-07-20 11:58,하나카드,하나,"CJ올리브영·하나카드·GC메디아이·배스킨라빈스, 할인·사전예약 등 여...",,,http://www.kdfnews.com/news/articleView.html?idxno=185407,37
2026-07-20 11:56,하나카드,하나,"하나카드, 여름 휴가철 맞춤 혜택 확대…워터파크·해외여행 할인",,,https://www.onews.tv/news/articleView.html?idxno=283302,37
2026-07-20 11:45,비씨카드,비지주,"방한 외국인, 자국 QR 그대로 쓴다…비씨카드 글로벌 결제망 구축",,전자신문,https://n.news.naver.com/mnews/article/030/0003449009?sid=101,38
2026-07-20 11:38,하나증권,하나,"[ESG 경영 분석] 하나증권, 디지털 금융 혁신·내부통제 강화 …""금융권...","하나증권, 디지털 금융 혁신과 내부통제 강화 전략 / 디지털 포용 전략 강화와 저탄소 산업군 투자 진행 중 / 종합금융부문 신설과 내부통제 체계 강화 추진 중 / ESG 통합관리 프로세스 기반의 친환경 투자 확대 중",,http://www.economytalk.kr/news/articleView.html?idxno=422879,37
2026-07-20 11:32,하나은행,하나,"[금융zip] 하나은행, 수입협회·기보와 수입기업 성장 지원 맞손 外",,,https://www.getnews.co.kr/news/articleView.html?idxno=875477,37
2026-07-20 11:15,토스뱅크,핀테크,"[게시판] 토스뱅크, '사이버 보안 엔지니어 부트캠프' 2기 모집","토스뱅크, 사이버 보안 인재 육성 프로그램 운영 / 사이버 보안 엔지니어 부트캠프 2기 모집 중 / 정보보안 전문 교육 및 실무 프로젝트 참여 예정 / K-디지털 트레이닝 사업의 일환으로 진행 중",연합뉴스,https://n.news.naver.com/mnews/article/001/0016203220?sid=101,37
2026-07-20 11:14,신한금융,신한,"신한금융, 롯데손보 품으면 '손보 체급' 확대…'인수가+증자'는 부담",,더팩트,https://n.news.naver.com/mnews/article/629/0000517201?sid=101,37
2026-07-20 11:08,신한투자증권,신한,"""여의도하면 신한투자증권 각인"" 신한證, 9호선에 스크린도어 광고","신한투자증권, 지하철 9호선 스크린도어 광고 / 684개 플랫폼스크린도어 단독 광고로 구성된 브랜드 존 / 9호선 1단계 25개 역사에 설치된 스크린도어 역명표지 후면 광고 / SOL 스테이션 리뉴얼을 통해 다양한 브랜드 콘텐츠 제공 예정",머니투데이,https://n.news.naver.com/mnews/article/008/0005387948?sid=101,37
2026-07-20 11:00,한양증권,비지주,"한양증권, 목표전환형펀드 판매···상품 라인업 확대",,,https://www.smarttoday.co.kr/ko-kr/articles/109591,37
2026-07-20 10:58,iM증권,지방,"iM증권, 유튜브서 ‘iM Lens’ 런칭...팟캐스트형 콘텐츠",,,http://www.metroseoul.co.kr/article/20260720500130,38
2026-07-20 10:56,우리금융,우리,"은행 고객을 카드·보험까지 연결…우리금융, 하반기 고객 확대 총력",,,https://www.wikitree.co.kr/articles/1147266,37
2026-07-20 10:50,우리카드,우리,"우리카드, 프리미엄 카드 ‘디오퍼스 블루’ 출시…여행·쇼핑 혜택 강...",,한국경제,https://n.news.naver.com/mnews/article/015/0005311584?sid=101,37
2026-07-20 10:43,신한은행,신한,"신한은행, 고객의 적립식 투자 '완주' 돕는다",,,https://www.newspim.com/news/view/20260720000417,37
2026-07-20 10:38,우리은행,우리,"우리은행, 인기 유튜버 '미미미누'와 함께 '청소년 금융교육' 힘쓴다",,,https://www.newspim.com/news/view/20260720000409,37
2026-07-20 10:34,하나카드,하나,하나카드 '2026 쿨 썸머 페스티벌' 시행… 휴가철 맞아 생활·여행 혜택...,"하나카드, 2026 쿨 썸머 페스티벌 행사 / 생활 밀착형 혜택과 워터파크 할인 제공 중 / 해외여행 특별 혜택과 랜덤박스 이벤트 진행 중 / 하나Pay 앱의 하나Pick에서도 이벤트 제공 예정",,https://www.ilyoseoul.co.kr/news/articleView.html?idxno=520008,38
2026-07-20 10:28,카카오페이,핀테크,"결제·금융·플랫폼 다 좋지만 … 카카오페이, 찐 기대는 '스테이블코인...",,,https://www.ilovepc.co.kr/news/articleView.html?idxno=60064,37
2026-07-20 10:27,토스,핀테크,"토스·SBI저축銀, 중저신용자 대출 문턱 낮췄다…연 7.9% 신용대출 출시","토스·SBI저축은행, 중저신용자 대출 문턱 낮추기 / 중금리 신용대출 'SBI포용대출 with Toss' 출시 예정 / 대안신용평가 토스스코어 활용해 신용도 평가 중 / 금융 협력 확대와 다양한 상품 출시 추진 중",디지털타임스,https://n.news.naver.com/mnews/article/029/0003037727?sid=101,37
2026-07-20 10:21,경남은행,지방,"BNK경남은행, 지역경제 회복지원 강화 나선다",,동행미디어 시대,https://n.news.naver.com/mnews/article/417/0001152153?sid=102,36
2026-07-20 10:08,토스,핀테크,"슈몽드, 중소벤처기업부•토스쇼핑 '2026년 TOPS' 선정 기념 특별 기획전...",,,http://www.fashionn.com/board/read_new.php?table=1003&number=61764,36
2026-07-20 10:00,LS증권,비지주,"LS증권, 복수거래소 자동매매 '주식스탑로스' 출시","LS증권, 자동주식매매 서비스 '주식스탑로스' 출시 / 투자자가 사전에 매매 전략과 조건을 설정하면 복수거래소의 시세 정보를 실시간으로 모니터링하는 방식 / 최적의 시점에 자동으로 주문을 실행하고, 거래시간을 분석해 최적 거래소에 주문을 실행하는 시스템 구축 중 / 투자자들의 정보 탐색 부담을 줄이고 투자 효율성을 높이기 위한 서비스 제공 예정",,http://www.issuenbiz.com/news/articleView.html?idxno=77954,36
2026-07-20 09:54,교보증권,비지주,"교보증권, 디지털·보안 인재 확보 나서…채용연계형 인턴 모집","교보증권, 디지털·보안 인재 확보를 위한 채용연계형 인턴 모집 / 디지털 서비스 개발 및 정보보호 관련 실무 경험 제공 / 지원 자격은 4년제 대학 졸업자 또는 이에 준하는 역량을 갖춘 인재로, 장애인과 취업지원대상자 우대 / 채용 절차는 서류전형, 필기시험, 실무면접 순으로 진행 중",뉴시스,https://n.news.naver.com/mnews/article/003/0014075182?sid=101,36
2026-07-20 09:52,새마을금고,정책,"새마을금고-하나카드, 여섯 번째 PLCC 8월 출시…비이자 수익 확대 속도","새마을금고-하나카드, 여섯 번째 PLCC 출시 / 구독결제 특화 혜택을 제공하는 PLCC 상품 출시 예정 / 비이자 수익 확대를 위한 카드 사업 추진 중 / 신규 고객 유입과 출자회원 확대 등을 통한 비이자 수익 기반 강화 중",,https://news.einfomax.co.kr/news/articleView.html?idxno=4425758,36
2026-07-20 09:50,토스,핀테크,"스테이블코인 '오픈 USD' 동맹 합류한 앱토스…“美 규제 변화, 기관 진...","앱토스, 스테이블코인 오픈 USD 프로젝트 참여 / 클래리티 법과 지니어스 법이 디지털 자산 산업 성장에 기여하는 법적 토대 / 디지털 자산 시장과 금융시장의 변화 추진 중 / 블록체인 기술과 AI의 확산으로 디지털 금융 생태계 구축 중",전자신문,https://n.news.naver.com/mnews/article/030/0003448912?sid=101,36
2026-07-20 09:32,BC카드,비지주,"BC카드, 국가간 QR결제망 확대…방한 외국인 결제 편의 높인다",,파이낸셜뉴스,https://n.news.naver.com/mnews/article/014/0005549956?sid=101,39
2026-07-20 09:26,농협손보,NH,"라온시큐어, 농협손보 양자보안 체계 구축…금융권 수주 확대",,,https://dealsite.co.kr/articles/165519,37
2026-07-20 09:14,비씨카드,비지주,"""외국인 관광객, 국내서도 QR로 간편 결제""⋯금융결제원, 비씨카드와 맞...",,,https://www.etoday.co.kr/news/view/2605032,37
2026-07-20 09:11,NH농협손해보험,NH,"라온시큐어, NH농협손해보험에 양자내성암호 공급","라온시큐어, NH농협손해보험에 양자내성암호 공급 / 양자내성암호 기술을 모바일·PC 인증·전자서명 구간에 적용하는 보안체계 구축 / 고객 정보 입력부터 거래 승인까지 양자보안을 구축하는 디지털 채널 전환 사업 / 다양한 산업의 PQC 전환을 지원하는 계획 중",,https://www.newspim.com/news/view/20260720000160,36
2026-07-20 09:06,우리투자증권,우리,"주식 매매하며 포인트 쇼핑까지…우리투자증권, MTS에 '쇼핑플러스' 오...",,,https://www.thefairnews.co.kr/news/articleView.html?idxno=82546,36
2026-07-20 09:02,신한금융,신한,[롯데손보 M&A] '아픈 손가락' 신한EZ손보 심폐소생 나선 신한금융,,,https://dealsite.co.kr/articles/165425,37
